token;freq
wa;35
pɾoʝ;4
sudan;1
lum;28
puɾ;8
sja;6
punto;12
nip;1
tɾan;35
sat͡ɬan;1
xapon;13
ɡan;156
maɾi;6
ɾaɾa;21
testo;10
ae;25
flo;56
pes;60
at͡ɬan;7
dexo;20
xeɾ;131
limi;18
aɾk;5
pje;31
kap;20
mite;32
ɾodɾi;9
ʝa;85
nje;23
subdi;1
espi;13
ken;21
neo;1
demok;42
nostal;3
laɡɾi;10
pad;29
sot;52
bito;9
lau;19
ɡɾi;28
stap;3
bol;100
diko;58
diɾ;83
beɾt;30
kɾeeɾ;9
xio;33
toɾk;2
biʝ;14
klin;34
simbo;15
klan;3
ed;14
waɾd;7
kuk;12
ablo;6
ted;22
atɾas;18
setts;2
ɡio;28
lanso;3
kɾiti;28
bli;21
sui;17
bɾad;3
lut͡ʃo;3
xaɾa;14
sei;16
buɾlo;1
buʃ;26
pɾakti;48
lje;4
xud;4
jo;44
nek;15
kut;14
fen;134
xakk;6
papa;3
bebe;3
siu;141
bom;40
ɾak;71
at͡ɬe;27
xime;6
kump;67
ljo;11
xamas;10
deɾon;6
aɾdo;2
len;176
fal;118
klasi;12
tɾjun;53
talan;24
sup;30
nou;6
kamp;6
puto;5
dwode;4
seis;53
tɾai;17
paɲo;4
blan;84
ɲe;52
ɾaul;10
ɾeo;1
feb;15
somb;15
ati;3
leɡɾ;6
klub;26
boi;15
futbol;45
sof;17
pjen;20
bwiɾ;7
iɾ;61
sipo;5
toɡɾa;2
lwis;43
fk;9
sieɾ;88
dje;41
pab;20
ʝebo;16
fik;15
beʝi;2
xel;28
maɾin;2
bel;75
liso;29
fis;49
kaɾsel;8
xwi;33
desb;1
xesus;12
ɾeto;5
medi;16
let;29
ped;17
ɡonsa;37
ɾamon;11
ens;3
ano;5
ɾesto;3
bad;1
ɡɾos;5
moɾ;74
sjeɾ;8
ɾiɡ;2
mob;7
ɾeɡo;42
xuɾi;9
ɡwnto;4
pod;32
xeɾaɾ;1
mes;88
keɾ;10
fekt;2
we;4
fek;203
naɾja;1
ɾant;11
seɾan;21
nomb;66
kuso;15
dum;10
pun;136
palm;3
at͡ʃ;3
see;15
baɾba;11
miks;8
plan;100
kkoo;12
ɡoɾ;50
uɡt;12
loɾo;5
seɡ;11
tendɾa;31
ono;12
bon;5
kisas;8
ɾil;85
kljen;19
aɾan;12
sar;3
ke;133
pliɾ;2
less;2
kulto;3
auto;14
pondɾa;8
este;48
desk;8
nukle;7
enk;3
kons;105
ɡɾaɾa;2
simp;35
oɾɡa;42
lefo;39
ksjon;14
kmt;2
bask;7
pɾon;17
daɾan;10
sib;45
pɾos;14
seim;2
xand;14
kou;4
sit;16
pib;5
ɾules;4
siɡ;114
ksksi;4
ɲan;13
fjes;28
d;12
ʝn;8
tjen;24
maksi;38
bɾaɾa;9
kandi;6
mendes;5
teɾes;29
fɾu;15
din;35
dik;76
int;31
meɾk;3
ɾepub;20
t͡ʃe;22
ɾeest;4
bat;18
min;112
kɾedi;23
tiɾa;27
eskan;8
dunɡ;1
peɾdi;22
kol;26
leɾt;1
mest;9
eɾs;6
basnk;1
ksob;1
kbk;1
ipb;1
njum;5
swi;35
alɡ;8
up;8
elbe;2
biɾan;4
aɾa;43
pondɾan;3
bs;3
ɡɾoup;2
tɾabes;45
xak;4
bou;1
lideɾ;43
kosme;3
faɾ;14
mak;61
kafe;47
tadis;9
kɾaft;2
foods;4
xistɾo;8
ɾaɾan;8
dame;3
ksii;3
